시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"203,500","218,000","199,400","214,000","195,020.00","186,620.00","182,062.50","420,166","89,064,823,900"
2024-06-18,"190,100","204,000","189,100","202,500","188,420.00","185,265.00","181,777.50","393,223","78,366,561,900"
2024-06-17,"189,700","191,500","186,500","190,000","184,720.00","184,480.00","181,589.17","130,804","24,704,135,900"
2024-06-14,"179,600","201,000","178,600","189,000","183,320.00","184,545.00","181,498.33","815,586","157,323,067,200"
2024-06-13,"181,600","184,000","179,600","179,600","182,220.00","184,645.00","181,400.00","96,921","17,577,662,600"
2024-06-12,"184,000","185,200","180,800","181,000","183,020.00","185,070.00","181,389.17","71,902","13,064,164,000"
2024-06-11,"184,200","186,100","183,100","184,000","183,200.00","185,205.00","181,369.17","68,175","12,603,219,100"
2024-06-10,"181,600","184,900","180,200","183,000","184,020.00","185,145.00","181,305.83","55,262","10,105,291,800"
2024-06-07,"183,700","186,000","181,900","183,500","183,320.00","185,090.00","181,250.83","59,678","10,960,137,900"
2024-06-05,"182,200","184,700","180,300","183,600","182,760.00","185,195.00","181,180.00","71,991","13,188,368,700"
2024-06-04,"186,300","187,500","181,100","181,900","182,520.00","185,265.00","181,121.67","80,987","14,833,282,900"
2024-06-03,"181,000","189,900","180,500","188,100","182,940.00","185,335.00","181,075.00","119,700","22,432,636,700"
2024-05-31,"182,500","182,500","178,500","179,500","182,140.00","185,150.00","180,979.17","107,009","19,235,530,500"
2024-05-30,"181,100","182,300","179,900","180,700","183,380.00","185,275.00","180,936.67","46,354","8,380,673,700"
2024-05-29,"182,200","184,800","181,700","182,400","184,840.00","185,385.00","180,878.33","88,804","16,226,226,583"
2024-05-28,"183,300","185,400","182,800","184,000","185,920.00","185,465.00","180,839.17","47,062","8,652,494,200"
2024-05-27,"186,200","187,000","183,000","184,100","186,500.00","185,265.00","180,788.33","47,688","8,786,213,300"
2024-05-24,"186,300","188,000","185,300","185,700","187,040.00","184,960.00","180,738.33","43,659","8,129,041,400"
2024-05-23,"187,200","191,200","187,200","188,000","188,160.00","184,525.00","180,666.67","51,301","9,698,100,300"
2024-05-22,"186,000","189,400","182,800","187,800","188,760.00","184,020.00","180,591.67","78,907","14,717,871,200"
2024-05-21,"185,200","187,100","183,400","186,900","188,820.00","183,190.00","180,515.83","38,701","7,200,004,900"
2024-05-20,"192,400","192,500","185,500","186,800","188,180.00","182,390.00","180,455.83","55,105","10,333,931,700"
2024-05-17,"189,200","192,200","189,200","191,300","187,380.00","181,595.00","180,373.33","91,502","17,492,951,500"
2024-05-16,"189,700","191,500","188,200","191,000","185,500.00","180,630.00","180,241.67","107,401","20,448,312,200"
2024-05-14,"185,000","189,500","184,300","188,100","184,420.00","179,835.00","180,126.67","128,263","24,088,107,800"
2024-05-13,"183,800","185,500","182,500","183,700","183,800.00","179,155.00","180,037.50","41,173","7,585,801,800"
2024-05-10,"183,800","184,500","182,200","182,800","183,720.00","178,780.00","179,936.67","75,451","13,848,862,332"
2024-05-09,"185,800","186,500","181,500","181,900","184,040.00","178,380.00","179,839.17","90,723","16,614,667,700"
2024-05-08,"185,000","186,800","184,400","185,600","184,060.00","177,920.00","179,768.33","60,058","11,151,157,900"
2024-05-07,"184,900","185,000","183,000","185,000","183,520.00","177,265.00","179,666.67","61,297","11,310,572,500"
2024-05-03,"185,200","185,500","182,600","183,300","183,320.00","176,670.00","179,532.50","48,869","8,994,066,900"
2024-05-02,"177,600","184,800","177,600","184,400","182,660.00","176,130.00","179,436.67","97,716","17,919,079,100"
2024-04-30,"182,200","183,700","181,000","182,000","181,380.00","175,555.00","179,341.67","99,428","18,145,791,000"
2024-04-29,"183,200","184,800","180,200","182,900","180,380.00","175,205.00","179,215.83","87,959","16,057,191,400"
2024-04-26,"181,700","185,700","179,800","184,000","179,380.00","174,765.00","179,070.83","100,270","18,407,072,200"
2024-04-25,"176,300","181,500","176,300","180,000","176,820.00","174,595.00","178,918.33","91,380","16,454,070,600"
2024-04-24,"178,600","178,600","176,400","178,000","175,000.00","174,870.00","178,844.17","42,405","7,532,183,000"
2024-04-23,"176,800","178,500","175,900","177,000","173,580.00","175,135.00","178,781.67","37,931","6,713,644,500"
2024-04-22,"172,800","177,900","171,800","177,900","172,580.00","175,400.00","178,734.17","80,646","14,215,270,400"
2024-04-19,"170,200","171,700","168,200","171,200","172,020.00","175,875.00","178,675.00","80,276","13,624,993,700"
2024-04-18,"171,700","172,400","170,700","170,900","172,680.00","176,650.00","178,680.83","42,478","7,270,462,200"
2024-04-17,"171,600","173,500","170,500","170,900","173,740.00","177,365.00","178,665.00","52,265","8,974,243,100"
2024-04-16,"174,000","175,500","171,300","172,000","174,520.00","178,070.00","178,655.83","86,455","14,943,492,600"
2024-04-15,"172,000","176,400","169,000","175,100","174,660.00","178,780.00","178,639.17","65,599","11,427,585,700"
2024-04-12,"175,300","177,600","172,600","174,500","174,140.00","179,485.00","178,620.00","71,238","12,457,904,400"
2024-04-11,"172,200","178,500","171,700","176,200","173,860.00","180,005.00","178,630.83","148,042","26,012,076,900"
2024-04-09,"174,500","175,900","173,900","174,800","173,120.00","180,415.00","178,595.00","64,698","11,324,334,700"
2024-04-08,"172,000","174,700","171,000","172,700","172,740.00","181,020.00","178,566.67","56,100","9,714,004,600"
2024-04-05,"171,600","176,000","171,600","172,500","173,200.00","181,710.00","178,577.50","77,648","13,472,171,000"
2024-04-04,"173,900","174,400","171,700","173,100","173,520.00","182,510.00","178,600.83","58,006","10,040,223,800"
2024-04-03,"172,500","174,900","170,500","172,500","175,020.00","183,485.00","178,655.83","73,486","12,716,385,800"
2024-04-02,"173,500","175,700","171,500","172,900","177,620.00","184,325.00","178,730.00","108,158","18,677,312,300"
2024-04-01,"175,900","177,200","173,100","175,000","179,700.00","185,270.00","178,814.17","81,702","14,308,219,900"
2024-03-29,"180,100","180,900","174,100","174,100","181,160.00","186,155.00","178,874.17","97,039","17,121,631,400"
2024-03-28,"182,500","183,200","178,500","180,600","183,820.00","186,975.00","178,920.00","176,896","31,961,824,000"
2024-03-27,"182,600","187,500","182,600","185,500","185,040.00","187,595.00","178,951.67","169,352","31,481,868,400"
2024-03-26,"183,600","184,900","182,100","183,300","184,980.00","187,740.00","178,939.17","74,521","13,660,715,300"
2024-03-25,"187,200","187,300","182,000","182,300","185,320.00","187,915.00","178,960.00","106,034","19,455,444,700"
2024-03-22,"186,000","188,100","184,300","187,400","186,100.00","188,310.00","178,950.83","80,123","14,926,523,100"
2024-03-21,"186,600","187,100","182,600","186,700","186,460.00","188,350.00","178,905.83","78,897","14,619,684,500"
2024-03-20,"186,800","188,500","184,600","185,200","186,100.00","188,285.00","178,887.50","50,027","9,283,042,600"
2024-03-19,"185,300","191,300","185,000","185,000","185,940.00","188,265.00","178,848.33","67,159","12,564,089,800"
2024-03-18,"187,300","188,400","185,000","186,200","186,320.00","188,170.00","178,780.83","62,901","11,741,848,900"
2024-03-15,"184,900","190,000","184,600","189,200","186,380.00","187,825.00","178,720.00","111,098","20,937,559,900"
2024-03-14,"185,300","188,000","184,400","184,900","186,240.00","187,155.00","178,622.50","85,668","15,878,612,100"
2024-03-13,"187,400","189,700","184,300","184,400","187,780.00","186,740.00","178,538.33","59,567","11,067,690,300"
2024-03-12,"187,900","188,500","184,500","186,900","188,760.00","186,575.00","178,437.50","57,428","10,699,729,800"
2024-03-11,"188,600","191,200","186,500","186,500","189,740.00","186,435.00","178,326.67","73,350","13,824,326,100"
2024-03-08,"195,600","195,700","187,500","188,500","190,980.00","186,550.00","178,213.33","119,895","22,837,628,500"
2024-03-07,"189,300","207,000","189,300","192,600","191,380.00","186,480.00","178,093.33","269,633","53,493,886,100"
2024-03-06,"191,700","192,800","189,300","189,300","191,460.00","186,255.00","177,944.17","59,753","11,380,850,000"
2024-03-05,"191,500","195,000","190,600","191,800","191,280.00","186,245.00","177,835.00","71,386","13,761,085,600"
2024-03-04,"188,600","195,600","188,500","192,700","190,280.00","185,825.00","177,707.50","93,561","18,088,497,800"
2024-02-29,"191,200","195,000","190,200","190,500","189,780.00","184,935.00","177,567.50","105,915","20,277,483,200"
2024-02-28,"187,800","195,000","185,600","193,000","189,320.00","183,915.00","177,417.50","99,965","19,136,691,300"
2024-02-27,"188,300","191,900","185,300","188,400","187,800.00","182,745.00","177,250.83","86,423","16,390,164,600"
2024-02-26,"190,200","191,100","185,100","186,800","187,080.00","181,710.00","177,126.67","64,955","12,220,739,900"
2024-02-23,"188,900","190,800","186,500","190,200","186,340.00","180,905.00","177,007.50","78,011","14,792,639,600"
2024-02-22,"186,600","189,900","184,200","188,200","184,160.00","179,820.00","176,850.00","85,246","15,994,844,900"
2024-02-21,"184,800","187,600","183,300","185,400","181,680.00","178,895.00","176,702.50","53,840","9,982,883,700"
2024-02-20,"184,000","187,100","182,500","184,800","179,920.00","178,080.00","176,587.50","101,827","18,863,290,300"
2024-02-19,"179,800","185,900","179,800","183,100","179,180.00","177,235.00","176,484.17","79,604","14,584,634,400"
2024-02-16,"177,400","179,300","176,000","179,300","179,380.00","176,430.00","176,392.50","78,430","13,912,587,000"
2024-02-15,"178,400","178,500","175,100","175,800","181,280.00","175,895.00","176,325.83","57,982","10,205,146,200"
2024-02-14,"179,600","180,500","174,600","176,600","183,540.00","175,730.00","176,291.67","120,929","21,311,523,400"
2024-02-13,"185,000","187,600","179,800","181,100","185,840.00","175,815.00","176,232.50","91,545","16,804,274,900"
2024-02-08,"188,500","190,600","183,700","184,100","187,440.00","175,495.00","176,124.17","95,301","17,715,657,200"
2024-02-07,"191,300","191,900","187,100","188,800","187,300.00","174,950.00","176,009.17","87,364","16,494,087,400"
2024-02-06,"186,300","192,400","186,200","187,100","184,520.00","174,410.00","175,831.67","81,872","15,464,042,100"
2024-02-05,"188,600","189,800","183,200","188,100","181,120.00","173,915.00","175,677.50","128,807","24,058,976,600"
2024-02-02,"184,000","191,500","184,000","189,100","177,420.00","173,345.00","175,510.00","214,688","40,456,146,600"
2024-02-01,"174,000","187,100","174,000","183,400","173,140.00","172,845.00","175,332.50","246,214","44,826,585,800"
2024-01-31,"169,300","175,300","169,300","174,900","170,600.00","172,770.00","175,217.50","78,056","13,524,278,700"
2024-01-30,"170,000","173,400","169,800","170,100","169,320.00","173,125.00","175,168.33","62,194","10,638,219,500"
2024-01-29,"168,000","170,300","167,000","169,600","169,240.00","173,970.00","175,170.00","80,109","13,497,561,100"
