시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"56,900","57,400","53,200","55,800","53,700.00","39,612.50","28,869.58","6,464,016","357,557,325,400"
2024-06-18,"54,300","60,800","53,800","55,800","51,700.00","38,290.00","28,612.92","13,197,149","760,314,497,100"
2024-06-17,"53,300","56,500","51,600","53,300","49,340.00","36,950.00","28,358.33","7,329,297","397,206,019,000"
2024-06-14,"52,200","56,500","51,100","51,800","46,900.00","35,725.00","28,124.17","9,530,248","509,808,278,200"
2024-06-13,"44,450","53,300","44,450","51,800","44,180.00","34,580.00","27,905.83","18,854,224","948,907,297,850"
2024-06-12,"43,700","48,500","43,050","45,800","42,560.00","33,375.00","27,687.92","12,062,387","553,489,274,050"
2024-06-11,"42,650","44,000","41,700","44,000","41,280.00","32,405.00","27,520.00","1,930,077","82,908,412,900"
2024-06-10,"37,500","42,000","37,500","41,100","40,220.00","31,612.50","27,367.50","1,759,009","70,410,542,700"
2024-06-07,"43,700","43,700","37,900","38,200","37,960.00","30,955.00","27,238.33","3,258,881","130,734,220,400"
2024-06-05,"39,000","44,650","37,350","43,700","36,000.00","30,425.00","27,135.83","23,475,148","968,111,636,450"
2024-06-04,"40,800","49,350","38,750","39,400","33,040.00","29,630.00","26,977.92","33,946,476","1,494,925,644,300"
2024-06-03,"29,800","38,700","29,700","38,700","30,920.00","29,035.00","26,852.08","13,412,864","498,113,399,650"
2024-05-31,"28,400","29,800","28,300","29,800","28,970.00","28,467.50","26,735.00","357,238","10,472,744,300"
2024-05-30,"28,650","28,900","28,300","28,400","28,840.00","28,357.50","26,692.92","142,248","4,049,761,300"
2024-05-29,"28,550","28,950","28,400","28,900","29,050.00","28,312.50","26,663.33","120,867","3,472,429,900"
2024-05-28,"28,950","29,050","28,500","28,800","29,150.00","28,210.00","26,626.67","104,144","2,994,396,450"
2024-05-27,"29,150","29,300","28,800","28,950","29,260.00","28,112.50","26,591.25","145,418","4,216,271,400"
2024-05-24,"29,050","29,200","28,650","29,150","29,270.00","27,992.50","26,555.00","151,267","4,379,848,650"
2024-05-23,"29,400","29,450","28,750","29,450","29,200.00","27,875.00","26,516.25","193,714","5,645,079,450"
2024-05-22,"29,550","29,600","29,050","29,400","29,090.00","27,687.50","26,472.92","247,583","7,276,070,150"
2024-05-21,"29,000","29,500","28,800","29,350","28,750.00","27,457.50","26,424.58","310,949","9,098,771,900"
2024-05-20,"28,800","29,100","28,650","29,000","28,160.00","27,262.50","26,377.92","158,421","4,579,690,900"
2024-05-17,"28,700","28,850","28,300","28,800","27,990.00","27,062.50","26,333.75","163,363","4,671,368,400"
2024-05-16,"27,750","28,900","27,500","28,900","27,820.00","26,905.00","26,290.42","368,140","10,413,836,650"
2024-05-14,"27,000","27,700","26,500","27,700","27,560.00","26,775.00","26,246.67","484,233","13,199,703,800"
2024-05-13,"28,150","28,250","26,300","26,400","27,580.00","26,622.50","26,212.50","522,525","13,942,103,700"
2024-05-10,"28,200","29,050","27,950","28,150","27,800.00","26,592.50","26,187.08","447,134","12,735,149,500"
2024-05-09,"27,850","29,150","27,600","27,950","27,640.00","26,527.50","26,147.50","443,595","12,605,122,400"
2024-05-08,"27,750","27,800","27,250","27,600","27,570.00","26,447.50","26,107.08","113,922","3,137,058,150"
2024-05-07,"27,700","27,850","27,450","27,800","27,550.00","26,387.50","26,069.58","175,983","4,865,149,250"
2024-05-03,"27,600","27,600","26,950","27,500","27,360.00","26,312.50","26,032.50","101,472","2,765,436,550"
2024-05-02,"27,500","27,550","26,950","27,350","27,230.00","26,242.50","25,998.33","121,365","3,311,154,350"
2024-04-30,"27,200","27,700","27,150","27,600","27,070.00","26,195.00","25,968.33","200,591","5,503,811,650"
2024-04-29,"26,850","27,650","26,600","27,500","26,910.00","26,155.00","25,929.17","253,632","6,929,483,850"
2024-04-26,"26,850","27,050","26,550","26,850","26,550.00","26,122.50","25,890.00","157,014","4,205,640,700"
2024-04-25,"26,300","27,100","26,300","26,850","26,140.00","26,142.50","25,857.08","159,360","4,275,659,050"
2024-04-24,"26,700","26,800","26,350","26,550","25,860.00","26,160.00","25,823.75","133,222","3,534,795,400"
2024-04-23,"25,650","26,850","25,500","26,800","25,550.00","26,195.00","25,796.25","298,636","7,895,771,300"
2024-04-22,"25,700","26,450","25,450","25,700","25,320.00","26,235.00","25,764.17","317,342","8,229,572,200"
2024-04-19,"25,100","25,150","24,600","24,800","25,440.00","26,347.50","25,741.67","172,774","4,298,411,950"
2024-04-18,"25,150","25,750","25,050","25,450","25,410.00","26,500.00","25,729.58","166,556","4,223,335,650"
2024-04-17,"25,700","25,700","24,850","25,000","25,480.00","26,595.00","25,710.83","199,852","5,009,879,350"
2024-04-16,"26,300","26,450","25,000","25,650","25,850.00","26,712.50","25,697.08","236,887","6,054,755,100"
2024-04-15,"24,650","26,400","24,550","26,300","25,990.00","26,850.00","25,680.83","459,455","11,841,086,200"
2024-04-12,"25,850","25,850","24,550","24,650","26,010.00","26,977.50","25,662.50","317,775","7,939,360,400"
2024-04-11,"26,450","26,800","25,800","25,800","26,340.00","27,202.50","25,658.33","315,933","8,229,050,300"
2024-04-09,"26,350","26,850","26,250","26,850","26,400.00","27,330.00","25,642.08","187,345","4,991,607,400"
2024-04-08,"26,450","26,650","25,900","26,350","26,310.00","27,402.50","25,619.17","135,843","3,577,080,050"
2024-04-05,"26,400","26,600","26,100","26,400","26,400.00","27,530.00","25,597.92","152,647","4,030,454,350"
2024-04-04,"26,300","26,650","26,200","26,300","26,490.00","27,670.00","25,576.25","131,265","3,474,329,000"
2024-04-03,"26,300","26,650","25,850","26,100","26,680.00","27,835.00","25,555.42","240,850","6,286,371,450"
2024-04-02,"26,550","26,750","26,300","26,400","26,900.00","28,022.50","25,538.33","221,658","5,855,780,250"
2024-04-01,"27,200","27,200","26,450","26,800","27,070.00","28,167.50","25,513.75","167,120","4,460,642,900"
2024-03-29,"27,650","27,650","26,800","26,850","27,230.00","28,287.50","25,484.58","157,936","4,282,695,750"
2024-03-28,"27,250","27,350","27,050","27,250","27,450.00","28,395.00","25,453.75","112,884","3,067,636,950"
2024-03-27,"27,150","27,500","27,100","27,200","27,570.00","28,445.00","25,425.83","91,857","2,507,184,050"
2024-03-26,"27,600","28,000","27,250","27,250","27,600.00","28,567.50","25,398.33","128,972","3,552,438,300"
2024-03-25,"27,800","27,950","27,400","27,600","27,620.00","28,697.50","25,373.75","119,702","3,305,412,950"
2024-03-22,"28,000","28,150","27,550","27,950","27,780.00","28,827.50","25,347.08","120,324","3,356,534,300"
2024-03-21,"27,600","28,200","27,400","27,850","27,960.00","28,937.50","25,318.75","200,505","5,585,834,300"
2024-03-20,"27,450","27,650","26,750","27,350","28,220.00","29,045.00","25,296.25","182,063","4,949,832,850"
2024-03-19,"28,250","28,550","27,200","27,350","28,420.00","29,182.50","25,276.67","404,204","11,143,997,200"
2024-03-18,"28,950","29,100","28,350","28,400","28,610.00","29,345.00","25,256.67","179,231","5,136,264,200"
2024-03-15,"29,050","29,500","28,850","28,850","28,710.00","29,282.50","25,230.00","289,397","8,401,560,400"
2024-03-14,"28,400","29,650","28,050","29,150","28,780.00","29,160.00","25,196.67","476,573","13,888,659,050"
2024-03-13,"28,350","28,500","28,000","28,350","28,870.00","29,042.50","25,157.50","201,847","5,693,306,900"
2024-03-12,"29,150","29,200","28,000","28,300","29,170.00","28,990.00","25,122.92","230,843","6,530,939,650"
2024-03-11,"28,850","29,350","28,850","28,900","29,370.00","28,957.50","25,094.58","129,459","3,762,896,550"
2024-03-08,"29,700","29,850","28,550","29,200","29,430.00","28,912.50","25,061.25","334,797","9,739,087,550"
2024-03-07,"29,950","29,950","29,550","29,600","29,390.00","28,797.50","25,020.83","211,140","6,270,562,150"
2024-03-06,"29,050","30,050","28,950","29,850","29,120.00","28,687.50","24,978.75","355,922","10,523,754,100"
2024-03-05,"28,850","29,300","28,450","29,300","29,080.00","28,572.50","24,938.33","245,607","7,126,498,200"
2024-03-04,"29,250","29,400","28,800","29,200","29,190.00","28,485.00","24,902.50","259,081","7,545,528,850"
2024-02-29,"27,950","29,300","27,900","29,000","29,390.00","28,347.50","24,866.67","562,033","16,224,336,450"
2024-02-28,"28,450","28,650","27,100","28,250","29,620.00","28,210.00","24,834.17","1,438,260","40,143,388,850"
2024-02-27,"29,500","30,500","29,450","29,650","29,970.00","28,112.50","24,807.92","634,825","18,878,571,600"
2024-02-26,"29,850","31,800","28,350","29,850","30,060.00","27,810.00","24,769.58","2,076,960","62,448,067,150"
2024-02-23,"30,150","31,100","29,850","30,200","30,210.00","27,495.00","24,724.17","514,075","15,612,650,400"
2024-02-22,"29,850","30,450","29,350","30,150","29,600.00","27,137.50","24,672.92","552,783","16,606,730,750"
2024-02-21,"29,950","30,500","29,400","30,000","28,850.00","26,790.00","24,621.67","674,298","20,127,988,950"
2024-02-20,"30,900","30,950","29,350","30,100","28,210.00","26,455.00","24,572.08","1,336,116","40,124,447,000"
2024-02-19,"27,850","30,600","27,500","30,600","27,650.00","26,095.00","24,520.00","3,640,332","108,243,549,300"
2024-02-16,"26,650","27,150","26,500","27,150","27,060.00","25,715.00","24,464.17","316,421","8,500,305,700"
2024-02-15,"27,050","27,150","26,350","26,400","27,230.00","25,507.50","24,439.17","320,298","8,535,439,200"
2024-02-14,"26,800","27,350","26,650","26,800","27,330.00","25,367.50","24,420.83","313,761","8,455,823,400"
2024-02-13,"27,900","28,050","27,250","27,300","27,450.00","25,205.00","24,400.83","406,071","11,204,234,850"
2024-02-08,"27,850","28,350","27,650","27,650","27,500.00","25,022.50","24,381.67","371,538","10,357,042,550"
2024-02-07,"26,950","28,250","26,750","28,000","27,480.00","24,835.00","24,367.08","552,923","15,208,466,650"
2024-02-06,"27,100","27,750","26,650","26,900","27,170.00","24,655.00","24,353.75","337,193","9,117,548,400"
2024-02-05,"27,650","27,850","26,500","27,400","27,040.00","24,527.50","24,344.58","491,313","13,331,408,800"
2024-02-02,"27,300","28,400","26,500","27,550","26,820.00","24,365.00","24,331.67","1,077,453","29,527,617,350"
2024-02-01,"26,200","28,550","25,800","27,550","26,030.00","24,200.00","24,313.33","2,202,413","61,074,900,100"
